Year,Growth-Price,Inflation
2001-12-31,4.824,3.7793
2002-12-31,3.804,4.2972
2003-12-31,7.8604,3.8059
2004-12-31,7.9229,3.7673
2005-12-31,7.9234,4.2463
2006-12-31,8.0607,5.7965
2007-12-31,7.6608,6.3729
2008-12-31,3.0867,8.3493
2009-12-31,7.8619,10.8824
2010-12-31,8.4976,11.9894
2011-12-31,5.2413,8.9118
2012-12-31,5.4564,9.479
2013-12-31,6.3861,10.0179
2014-12-31,7.4102,6.6657
2015-12-31,7.9963,4.907
2016-12-31,8.2563,4.9482
2017-12-31,6.7954,3.3282
2018-12-31,6.4539,3.9388
2019-12-31,3.8714,3.7295
2020-12-31,-5.8311,6.6234
2021-12-31,9.0503,5.1314
2022-12-31,7.2397,6.699
2023-12-31,7.83,6.5
2024-12-31,6.81,6.5
2025-12-31,6.46,6.5
2026-12-31,6.47,6.5
2027-12-31,6.45,6.5
2028-12-31,6.44,6.5
2029-12-31,6.5,6.5
